"","Locality","Country","State_Province","County","Latitude","Longitude"
"1595","Lake Skinner, NE, (MET B4), ca.","United States","California","Riverside",33.60083,117.03722
"1611","Ogilby","United States","California","Imperial",32.81694,-114.83806
"1612","Carmel Point","United States","California","Monterey",36.54307,121.93281
"1637","15 mi E of Calexico","United States","California","Imperial",32.67863,-115.23944
"1658","Imperial Hwy; T16S R9E S18","United States","California","Imperial",32.77676,-116.08724
"1758","Tecate","United States","California","San Diego",32.57728,-116.62751
"1797","El Centro","United States","California","Imperial",32.01278,-115.00937
"1815","Gordon's well","United States","California","Imperial",32.70918,-114.96705
"1950","Santa Rosa Plateau Ecol. Reserve","United States","California","Riverside",33.54778,117.23333
"2057","desert at R.R. stop below Mountain Springs","United States","California","San Diego",32.67668,-116.10026
"2089","about 30 mi SE of San Diego","United States","California","San Diego",32.57652,-116.65994
"2162","Indian Wash, 12 mi N of Interstate 8 on Ogilby Road","United States","California","Imperial",32.82734,-114.83726
"2170","I-8 & Rt 98, nr Ocotillo","United States","California","Imperial",32.72727,-116.01991
"2218","T18S R3E S8; Barrett Junction","United States","California","San Diego",32.6186,-116.69932
"2281","Pac. Cr. Tr. N. of Hwy. 74","United States","California","Riverside",33.55,116.56667
"2333","2 mi NE of Ogilby","United States","California","Imperial",32.83746,-114.81364
"2438","American Girl Wash T 15S, R 20E, S 13","United States","California","Imperial",32.81465,-114.90562
"2470","Ocotillo, T16S R9E S6","United States","California","Imperial",32.80308,-116.09854
"2519","T16S R9E S7; Coyote Wash","United States","California","Imperial",32.79088,-116.08737
"2553","Jacumba Interstate 8","United States","California","San Diego",32.3703,-116.1123
"2566","25 mi SE of San Diego, Campo Road","United States","California","San Diego",32.60158,-116.64332
"2567","San Bernardino Nat. Forest 1 mi. N. Big Bear Lake Van Dusen Canyon Rd.","United States","California","San Bernardino",34.26667,116.85
"2722","Jacumba T18S, R8E,S7","United States","California","San Diego",32.61837,-116.20053
"2746","Calipatria; T12S. R14E, S15","United States","California","Imperial",33.00217,-115.0085
"2818","Lake Skinner, NE, (MET B11), ca.","United States","California","Riverside",33.60028,117.03278
"2828","Clark Mts. (W. end)","United States","California","San Bernardino",35.52917,115.6375
"2844","Jacumbra","United States","California","San Diego",32.6175,-116.18889
"2845","Poway","United States","California","San Diego",32.5746,-117.0209
"2987","R6E T6S; Des. Res. Center Sec. 17","United States","California","Riverside",33.63861,116.37638
"3007","Algodones Dunes","United States","California","Imperial",33.06231,115.75278
"3189","6.4 mi. N. Glamis","United States","California","Imperial",32.5951,-115.0419
"3354","4 mi W Coyote Wells","United States","California","Imperial",32.73859,-116.0356
"3371","Granite Mtn. Reserve, Granite Cove","United States","California","San Bernardino",34.8,115.65
"3436","Pasadena, Arroyo Seco","United States","California","Los Angeles",34.26944,118.10528
"3463","Bonds Corner","United States","California","Imperial",32.69361,-115.33639
"3500","W of Jacumba","United States","California","San Diego",32.62333,-116.19068
"3672","Laguna, Manzanita","United States","California","San Diego",32.66889,-116.28889
"3733","Otay Mesa","United States","California","San Diego",32.55942,-116.97338
"3747","0.3 km N of Cave Point","United States","California","Contra Costa",37.84389,121.88083
"3802","Tecate Peak","United States","California","San Diego",32.57951,-116.6889
"3921","Algodones Dunes, 3.5 mi SE Glamis","United States","California","Imperial",32.96158,-115.02829
"3935","Glamis Sand Dunes, 5 mi. W. Ogilby","United States","California","Imperial",32.81691,-114.92439
"4128","Algodones Dunes S. Ruthven","United States","California","Imperial",32.59166,-114.99277
"4173","Granite Mtn. Reserve","United States","California","San Bernardino",34.8,115.65
"4287","3 mi. NE Glamis","United States","California","Imperial",33.02828,-115.0344
"4353","10 mi E of Glamis","United States","California","Imperial",32.997,-114.898
"4393","Palm Canyon Wash","United States","California","Imperial",32.76856,-116.10045
"4697","near Boulevard","United States","California","San Diego",32.66361,-116.27278
"4784","Red Rock Canyon State Park","United States","California","Kern",35.38333,118
"4943","Granite Mtn. Reserve, Granite Cove, ca.","United States","California","San Bernardino",34.8,115.65
"5110","Calistoga, Stonegate vineyard","United States","California","Napa",38.566,122.5566
"5260","14 mi N of Dos Palos","United States","California","Merced",37.18908,37.18908
"5282","Alpine","United States","California","San Diego",32.5006,-116.4559
"5328","Sec. 32 T.7S., R.1E. Site 2, 5.6 mi. of S. Sage on R3,","United States","California","Riverside",33.42183,116.9
"5460","Boulevard-Manzanita","United States","California","San Diego",32.3949,-116.1625
"5539","4mi NW Jacumba","United States","California","San Diego",32.65854,-116.23762
"5574","4 mi W of Calexico at New River, site 1","United States","California","Imperial",32.67887,-115.56702
"5739","Hull Road, 2.6 road mi W of County Road 305, Mendocino National Forest","United States","California","Glenn",39.71172,122.58197
