"","Locality","Country","State/Province","County","Latitude","Longitude"
"1213","Sierra Juarez, 12 mi S of Mexicali-Tecate Hwy. along road to E Topo Ranch","MEXICO","Baja California Norte","None or Unknown",32.3716,-115.99572
"1492","38 km E Rt 1 to Parque San Pedro Martir","MEXICO","Baja California Norte","None or Unknown",30.96,-115.82
"1681","12 mi SE of Maneadero","MEXICO","Baja California Norte","None or Unknown",31.59399,-116.42265
"1770","36 km W of Bahia de Los Angeles","MEXICO","Baja California Norte","None or Unknown",29.03075,-113.86392
"1790","36 km off Hwy 1 to San Pedro Martir","MEXICO","Baja California Norte","Ensenada Municipality",30.9555,-115.85553
"1892","7 mi SE of Maneadero","MEXICO","Baja California Norte","None or Unknown",31.6451,-116.48261
"2051","46 km W of Chihuahua-Sonora border, at Puente el Castillo","MEXICO","Sonora","None or Unknown",32.1,-108.79565
"2237","Tijuana","MEXICO","Baja California Norte","None or Unknown",32.5333,-117.0167
"2242","3 km S Xalitla","MEXICO","Guerrero","None or Unknown",18,98.24
"2397","9 mi S of San Augustin","MEXICO","Baja California Norte","None or Unknown",29.86559,-114.84362
"2433","San Vicente","MEXICO","Baja California Norte","None or Unknown",31.32473,-116.24734
"2471","Bridge over the Rio Cherreras","MEXICO","Tamaulipas","None or Unknown",90,24
"2515","Lagos de Montebello","MEXICO","Chiapas","None or Unknown",16.09965,-91.68079
"2993","36 mi SE of El Rosario, Rancho El Progresso","MEXICO","Baja California Norte","None or Unknown",29.67,-115.28
"3443","90 km E of San Telmo","MEXICO","Baja California Norte","None or Unknown",31.01817,-115.47063
"3558","Mezquital, 23 mi. SE (Arroyo San Luis)","MEXICO","Baja California Norte","None or Unknown",28.01488,-113.68367
"3592","25 mi W of Bahia de Los Angeles","MEXICO","Baja California Norte","None or Unknown",28.94966,-113.63268
"3687","36 mi E of San Luis","MEXICO","Sonora","San Luis Rio Colorado",32.32686,-114.2657
"3793","2.5 km SW Zapotitlan Salinas (Hwy 125)","MEXICO","Puebla","None or Unknown",18.18,97.13
"3798","San Quintin","MEXICO","Baja California Norte","None or Unknown",30.56071,-115.94073
"4159","Ciudad Juarez","MEXICO","Chihuahua","None or Unknown",31.75453,-106.45672
"4660","5 km SSE Chila (Hwy 190)","MEXICO","Puebla","None or Unknown",17.95,98.11666
"4671","Millers Landing, S.W. Rosarito","MEXICO","Baja California Norte","None or Unknown",28.49139,-114.06346
"5063","Leona Vicario, Reserva Ecologica El Eden","MEXICO","Quintana Roo","Benito JuÃ¡rez Municipality",21.21667,87.18333
"5167","10 mi S of Chapala","MEXICO","Baja California Norte","None or Unknown",29.30165,-114.25131
